insee_code,name,postal_code,lat,lon,population
06002,Amirat,06910,43.897300,6.810800,45
68005,Ammerschwihr,68410,48.116600,7.266900,1580
72004,Amné,72540,48.034900,-0.042600,569
57019,Amnéville,57360,49.246900,6.117900,10875
70015,Amoncourt,70170,47.735800,6.061600,270
25017,Amondans,25330,47.072200,6.034600,85
70016,Amont-et-Effreney,70310,47.867200,6.563000,168
64019,Amorots-Succos,64120,43.362600,-1.127300,219
40002,Amou,40330,43.589100,-0.746400,1550
21012,Ampilly-le-Sec,21400,47.813400,4.506500,322
21011,Ampilly-les-Bordes,21450,47.640400,4.627200,79
69006,Amplepuis,69550,45.966000,4.317000,4876
62030,Amplier,62760,50.135700,2.398500,297
77003,Amponville,77760,48.289700,2.529500,349
2B015,Ampriani,20272,42.253700,9.356600,23
69007,Ampuis,69420,45.503400,4.807900,2769
83003,Ampus,83111,43.621800,6.368300,919
79009,Amuré,79210,46.255900,-0.610900,429
60011,Amy,60310,49.640100,2.831000,419
27010,Amécourt,27140,49.376300,1.734500,172
66003,Amélie-les-Bains-Palalda,66110,42.450800,2.687000,3529
16011,Anais,16560,45.769700,0.204600,587
17007,Anais,17540,46.177400,-0.901200,314
31008,Anan,31230,43.354100,0.813900,267
64225,Ance Féas,64570,43.157500,-0.694200,624
76007,Anceaumeville,76710,49.569200,1.062100,708
