insee_code,name,postal_code,lat,lon
59173,Deûlémont,59890,50.727500,2.972300
67093,Dieffenbach-lès-Wœrth,67360,48.931100,7.796700
16119,Dignac,16410,45.554900,0.287400
54158,Dolcourt,54170,48.492500,5.967800
14226,Donnay,14220,48.946400,-0.425000
58102,Donzy,58220,47.379800,3.117100
72120,Doucelles,72170,48.256100,0.181300
55165,Doulcon,55110,49.385600,5.156000
10131,Droupt-Saint-Basle,10170,48.480400,3.957000
89148,Druyes-les-Belles-Fontaines,89560,47.553800,3.414700
47086,Duras,47120,44.675500,0.202100
46090,Durbans,46320,44.681000,1.763100
05139,Dévoluy,05250,44.684700,5.891700
29049,Elliant,29370,48.007300,-3.905300
84044,Entrechaux,84340,44.223800,5.136400
49367,Erdre-en-Anjou,49220,47.589000,-0.817800
32125,Espas,32370,43.776900,0.090300
26122,Espenel,26340,44.689400,5.236700
10141,Essoyes,10360,48.047300,4.542600
51237,Esternay,51310,48.728100,3.583900
65173,Esterre,65120,42.872900,0.011400
32128,Estipouy,32300,43.551100,0.388500
19078,Estivaux,19410,45.321100,1.495300
64218,Estérençuby,64220,43.077200,-1.176300
34095,Fabrègues,34690,43.531200,3.773700
08163,Faissault,08270,49.610700,4.505400
62323,Fampoux,62118,50.298300,2.871500
47093,Fargues-sur-Ourbise,47700,44.227400,0.163700
10148,Ferreux-Quincey,10400,48.461100,3.600300
37108,Ferrière-sur-Beaulieu,37600,47.150600,1.053000
70231,Ferrières-lès-Ray,70130,47.579400,5.793700
27243,Fiquefleur-Équainville,27210,49.402700,0.321600
78234,Flacourt,78200,48.931200,1.641600
54199,Flin,54122,48.505100,6.658400
41087,Fontaine-les-Coteaux,41800,47.797600,0.831600
52205,Foulain,52000,48.023400,5.163200
02329,Fourdrain,02870,49.617000,3.456900
47101,Fourques-sur-Garonne,47200,44.456100,0.153900
27271,Fresney,27220,48.949500,1.304900
2B120,Furiani,20600,42.654800,9.421300
27275,Gaillon,27600,49.160200,1.340500
2B121,Galéria,20245,42.404800,8.706000
30125,Garons,30128,43.770600,4.439700
49261,Gennes-Val-de-Loire,49160,47.342400,-0.235200
65203,Gez-ez-Angles,65100,43.088900,0.024500
11165,Ginoles,11500,42.863700,2.153000
46122,Gintrac,46130,44.884400,1.754700
88203,Girecourt-sur-Durbion,88600,48.248400,6.597800
2B126,Giuncaggio,20251,42.182900,9.398000
74212,Glières-Val-de-Borne,74130,45.985500,6.393300
38181,Goncelin,38570,45.336500,5.988600
35121,Gosné,35140,48.249200,-1.460600
12111,Goutrens,12390,44.437700,2.365100
50214,Gouvets,50420,48.925300,-1.090100
56067,Grand-Champ,56390,47.762000,-2.850900
14312,Grandcamp-Maisy,14450,49.372700,-1.051500
78283,Grandchamp,78113,48.720700,1.614100
07099,Gras,07700,44.440300,4.536000
81105,Graulhet,81300,43.759200,1.997600
31232,Grenade,31330,43.770200,1.279100
